date,open,high,low,close,volume,barCount
20220512,6.08,7.27,5.76,6.85,5732.03,2705
20220513,6.86,8.53,6.86,7.76,6454.51,3256
20220516,8.07,8.34,7.39,7.46,3019.36,1725
20220517,7.24,7.7,7.02,7.68,3339.42,1600
20220518,7.56,7.85,7.17,7.3,2998.8,1715
20220519,7.18,8.12,7.15,7.98,2711.48,1579
20220520,8.24,8.74,8.08,8.65,3389.18,1867
20220523,8.79,9.52,8.73,8.87,3902.57,2238
20220524,8.65,8.66,7.95,8.16,2417.97,1459
20220525,8.03,8.52,8.03,8.51,1820.29,1324
20220526,8.63,8.68,8.2,8.34,2188.19,1368
20220527,8.49,9.2,8.47,8.81,3597.59,2295
20220531,8.9,9.22,8.71,8.98,4116.13,2948
20220601,8.97,9.25,8.97,9.16,5061.65,3208
20220602,8.05,8.49,7.88,8.23,5993.7,3823
20220603,8.03,8.33,8.0,8.22,4358.94,3168
20220606,8.3,8.48,6.5,7.25,9122.37,5467
20220607,7.1,7.18,6.5,6.73,8996.69,5456
20220608,6.84,7.1,6.55,6.57,4525.62,3120
20220609,6.6,6.78,5.86,5.86,5179.57,2805
20220610,5.71,5.82,5.1,5.19,7320.05,4242
20220613,5.14,5.16,4.6,4.62,6905.81,4088
20220614,4.7,4.72,4.25,4.32,6011.44,3610
20220615,4.36,4.62,4.23,4.5,7332.79,4392
20220616,4.35,4.9,4.31,4.7,7778.45,4418
20220617,4.63,4.96,4.51,4.96,8787.3,5158
20220621,5.17,5.19,4.66,4.72,5584.75,2708
20220622,4.59,4.67,4.24,4.33,4806.66,2614
20220623,4.45,4.46,4.05,4.34,4092.5,2517
20220624,4.34,4.34,3.98,3.99,6480.74,3310
20220627,4.25,4.25,3.7,3.71,7675.32,3535
20220628,3.82,3.95,3.55,3.6,6450,3051
20220629,3.74,3.74,3.29,3.38,5600.3,2939
20220630,3.48,3.67,3.25,3.67,11912.59,3844
20220701,3.69,3.77,3.51,3.74,5079.96,2366
20220705,3.73,4.27,3.66,4.27,5695.34,2637
20220706,4.15,4.67,4.08,4.62,5299.28,2690
20220707,4.68,5.18,4.68,5.18,5318.78,2445
20220708,5.04,5.64,5.04,5.3,4873.7,2161
20220711,5.3,5.3,4.66,4.665,4273.49,1986
20220712,4.81,4.82,4.41,4.54,3653.76,1911
20220713,4.54,4.61,4.33,4.47,3537.18,1894
20220714,4.4,4.58,4.25,4.3,2200.15,1404
20220715,4.39,4.43,4.21,4.4,2154.58,1106
20220718,4.6,4.68,4.34,4.46,2415.39,1458
20220719,4.47,4.69,4.47,4.52,3011.72,1518
20220720,4.51,4.75,4.45,4.53,3860.66,1744
20220721,4.55,4.55,4.0,4.24,4832.19,2097
20220722,4.19,4.24,4.0,4.03,3144.78,1260
20220725,4.1,4.2,3.94,4.18,1632.99,972
20220726,4.12,4.18,3.82,3.9,1906.13,931
20220727,4.0,4.2,3.9,4.19,2231.77,958
20220728,4.07,4.41,4.05,4.41,2614.99,987
20220729,4.41,4.57,4.26,4.43,1791.77,837
20220801,4.45,4.47,4.08,4.11,2963.91,1751
20220802,4.01,4.2,3.95,4.06,3719.55,1812
20220803,4.11,4.34,4.03,4.31,2992.73,1543
20220804,4.33,4.59,4.11,4.27,2577.89,1134
20220805,4.37,4.47,4.2,4.45,2921.69,1253
20220808,4.55,4.62,4.39,4.55,2596.26,1172
20220809,4.58,4.58,4.18,4.35,3490.39,1309
20220810,4.49,4.6,4.43,4.47,2204.27,876
20220811,4.5,4.56,4.18,4.34,3938.52,1851
20220812,4.33,4.95,4.06,4.84,6341.54,2558
20220815,4.75,5.0,4.71,4.97,3215.82,1779
20220816,5.02,5.47,4.87,5.39,6253.46,2852
20220817,5.26,5.28,4.86,5.23,3389.47,1417
20220818,5.16,5.9,5.13,5.67,5643.54,2105
20220819,5.45,5.61,4.96,5.02,3938.3,1528
20220822,4.81,4.83,4.5,4.58,3536.13,1852
20220823,4.58,4.76,4.51,4.53,2716.13,1601
20220824,4.5,4.74,4.41,4.44,2920.04,1361
20220825,4.47,4.55,4.22,4.25,6563.38,3335
20220826,4.32,4.32,3.8,3.99,8094.44,3139
20220829,4.0,4.16,3.85,4.04,7092.9,1833
20220830,4.05,4.11,3.93,3.95,4924.77,1283
20220831,3.99,4.44,3.96,3.98,3474.87,1758
20220901,3.96,4.0,3.41,3.51,6336.96,2633
20220902,3.66,3.7,3.5,3.64,6934.95,2326
20220906,3.53,3.56,2.23,2.29,61712.37,21548
20220907,2.4,2.52,2.13,2.36,41708.77,15043
20220908,2.44,2.5,2.26,2.4,24547.8,8519
20220909,2.47,2.51,2.34,2.42,15330.07,6191
20220912,2.45,2.5,2.39,2.45,11910.91,4239
20220913,2.4,2.44,2.26,2.41,11273.87,5019
20220914,2.41,2.46,2.28,2.45,10901.43,4877
20220915,2.47,2.48,2.26,2.28,10776.05,3866
20220916,2.25,2.41,2.09,2.29,15508.9,4519
20220919,2.33,2.34,2.07,2.09,9651.84,3229
20220920,2.06,2.11,1.97,2.0,11473.16,3786
20220921,2.0,2.11,1.98,2.0,7941.27,2834
20220922,2.03,2.06,1.89,1.92,11395.72,3365
20220923,1.9,1.91,1.7601,1.83,8929.14,2955
20220926,1.85,1.89,1.725,1.77,12624.62,4402
20220927,1.8,1.85,1.76,1.82,3426.64,1646
20220928,1.81,1.8881,1.78,1.87,8032.24,3292
20220929,1.81,1.85,1.67,1.73,8500.86,3175
20220930,1.73,1.95,1.72,1.88,9978.56,3528
20221003,1.92,2.01,1.8,1.93,9156.11,3007
20221004,1.97,2.09,1.97,2.08,6219.64,2543
20221005,2.09,2.09,1.94,1.96,4495.02,1935
20221006,1.94,2.025,1.92,1.96,3249.22,1333
20221007,1.95,1.97,1.87,1.89,6280.97,2460
20221010,1.94,1.98,1.82,1.94,6742.41,3011
20221011,1.99,1.99,1.85,1.9,7618.96,3316
20221012,1.88,1.9,1.84,1.89,6114.52,2696
20221013,1.82,1.86,1.755,1.79,10768.06,3327
20221014,1.79,1.805,1.6,1.61,6669.22,2293
20221017,1.69,1.93,1.65,1.92,10402.6,3346
20221018,1.95,2.02,1.8119,1.89,4253.44,1739
20221019,1.86,1.93,1.81,1.87,4109.14,1833
20221020,1.88,2.07,1.8702,1.98,4089.62,1842
20221021,1.98,2.085,1.94,2.05,2634.47,1217
